"id","k","c1","c2","lt","unitVolume","initialStock"
16573,21.53,1.84,37.86,4,0.1433,1907
16574,31.31,10.3,60.33,5,2.8875,300
16575,68.9,6.26,449.97,3,0.301,641
16576,1665.01,10.52,63.22,9,0.1,6419
16577,36.66,1.38,60.76,10,0.899,1152
16578,1.7,1.78,121.43,3,1.0432,150
16579,83.39,10.01,94.78,4,0.2529,1307
16580,64.76,8.94,323.42,4,1.3172,766
16581,139.79,8.89,549.44,3,0.0801,785
16582,415.9,6.59,255.13,12,0.0733,5845
16583,11.68,5.13,20.6,6,1.6624,237
16584,117.07,11.95,880.54,4,0.8706,1465
16585,926.01,7.84,515.59,10,0.0716,2813
16586,121.52,10.7,536.32,5,0.2896,1749
16587,30.91,6.37,49.91,3,2.4565,686
16588,82.67,13.11,619.47,3,0.0326,1292
16589,4.32,4.9,99.03,3,1.0473,227
16590,1353.34,11.37,136.54,14,0.0623,4242
16591,57.81,6.54,119.9,4,1.3546,613
16592,46.47,12.27,118.61,6,0.4742,294
16593,4.29,1.52,31.34,6,0.279,350
16594,62.83,9.42,47.94,6,1.8264,254
16595,1206.88,9.4,625.84,16,0.1177,6861
16596,66.76,4.18,225.54,6,0.1391,2020
16597,299.32,8.73,769.93,9,0.185,2911
16598,73.55,5.42,199.35,4,0.2122,984
16599,259.89,12.68,122.84,7,0.4244,888
16600,31.63,3.85,56.73,6,0.6563,649
16601,24.16,13.95,669.53,4,0.5913,351
16602,145.87,4.34,315.79,5,0.5719,2563
16603,5.73,3.22,85.15,4,3.9839,196
16604,162.31,13.93,946.27,4,0.84,907
16605,84.94,9.51,215.39,6,0.4564,1153
16606,54.83,12.37,686.6,3,1.4384,662
16607,201.73,8.01,108.55,6,0.6337,1363
16608,204.08,13.77,799.07,5,0.0734,1233
16609,85.02,6.5,229.89,5,0.5842,2037
16610,59.72,2.69,42.94,5,0.5695,854
16611,9.61,4.25,193.85,5,1.6817,456
16612,134.46,10.48,740.75,3,0.9704,794
16613,105.37,10.9,981.64,3,0.8063,1322
16614,91.35,9.5,918.84,3,0.0473,1320
16615,54.47,5.5,73.41,4,0.3215,799
16616,715.87,9.63,198.28,17,0.2757,3319
16617,506.81,8.78,42.44,6,0.4933,1959
16618,5.04,1.2,16.78,5,1.0261,630
16619,67.19,6.59,100.3,3,0.7988,1043
16620,48.57,3.05,109.18,4,0.3971,1755
16621,59.57,7.94,279.17,6,0.3143,631
16622,25.13,8.51,268.69,5,3.0112,400
16623,119.57,5.42,102.7,7,0.4425,1888
16624,66.7,4.07,101.96,5,0.6396,1844
16625,50.72,13.01,446.74,2,1.5997,433
16626,779.7,7.46,721.34,12,0.0971,3934
16627,229.09,13.71,576.65,4,0.4103,828
16628,2.28,7.94,74.69,4,21.3796,50
16629,31.15,7.97,189.68,4,2.3291,230
16630,57.31,4.26,168.3,4,0.5667,959
16631,104.54,9.96,332.42,6,0.4038,1064
16632,89.03,13.25,264.58,4,0.4395,896
16633,1092.5,10.7,102.44,10,0.0383,3267
16634,106.97,7.92,685.37,5,0.5666,1591
16635,123.87,12.06,351.83,6,0.3,1347
16636,89.57,7.85,180.44,4,0.1765,1489
16637,56.03,5.48,421,9,2.1704,282
16638,76.05,12.45,218.06,4,1.3649,634
16639,20.37,13.02,137.94,3,1.5166,259
16640,24.82,3.35,65.99,4,1.2501,383
16641,219.71,13.64,539.31,5,0.0311,2338
16642,125.68,13.51,254.16,5,0.2706,516
16643,12.25,8.26,392.34,5,5.0775,114
16644,113.86,11,475.73,4,0.4847,841
16645,27.66,3.98,85.58,4,0.7375,386
16646,205.85,13.4,252.09,4,0.4808,1856
16647,43.78,4.68,302.65,4,0.1259,899
16648,458.77,12.39,1055.51,6,0.3632,1719
16649,378.72,12.76,1105.05,8,0.4131,2479
16650,173.43,4.3,293.72,10,1.0269,882
16651,28.66,2.79,52.2,4,0.1415,1215
16652,16.96,13.58,690.45,3,1.7166,55
16653,251.46,10.21,685,10,0.079,2748
16654,14.16,1.84,88.62,6,0.0356,656
16655,151.23,12.95,582.67,5,0.6517,1702
16656,111.29,10.51,87.95,4,0.3349,549
16657,35.47,13.2,178.38,4,0.808,273
16658,5.43,3.14,72.58,3,5.5971,172
16659,51.09,6.05,216.64,4,1.0436,833
16660,12.49,13.21,918.2,4,3.6614,69
16661,1.97,10.18,98.61,3,15.6512,20
16662,64.39,1.97,193.95,9,0.5143,1904
16663,45.24,4.16,113.29,4,0.3925,1240
16664,93.65,12.53,726.2,8,0.3312,569
16665,2.84,4.36,283.52,6,6.6255,69
16666,1.6,10.84,857.19,5,28.8593,16
16667,7.55,1.62,82.97,3,2.6851,512
16668,188.76,12.48,549.56,4,0.5679,766
16669,8.14,11.8,567.9,6,2.6846,68
16670,1.89,7.31,350.43,4,3.3027,19
16671,136.27,3.66,60.23,7,0.0747,2441
16672,55.3,3.08,178.8,4,0.2062,1455
16673,90.12,10.75,477.37,4,0.359,1035
16674,80.54,7.04,564.76,4,0.61,667
16675,23.26,2.88,28.06,5,0.8385,897
16676,11.96,13.74,858.27,4,3.5981,77
16677,89.02,11.75,596.88,5,0.6445,816
16678,272.91,4.53,147.54,9,0.7199,1384
16679,17.64,2.82,242.56,5,1.4663,538
16680,28.82,9.38,332.93,3,1.3554,203
16681,48.32,5.98,74.28,3,0.2146,468
16682,288.31,11.55,776.77,5,0.4942,851
16683,130.31,13.23,643.77,3,0.9894,1079
16684,94.99,13.02,67.46,3,1.1178,577
16685,38.48,5.32,353.9,5,0.4915,974
16686,40.11,12.73,1049.44,3,1.208,252
16687,105.93,13.99,101.07,3,0.84,1464
16688,21.23,7.26,63.86,4,0.2776,410
16689,48.04,5.29,128.1,5,0.3834,909
16690,3.91,6.53,368.43,7,9.1062,30
16691,124.98,9.64,176.39,7,0.1362,1072
16692,56.12,4.34,210.22,4,0.4661,1404
16693,295.28,3.74,43.8,10,0.3182,2531
16694,130.12,10.18,187.44,5,0.1044,2014
16695,4.22,11.38,483.7,7,24.4739,11
16696,8.27,1.53,83.85,6,1.0227,1134
16697,41.74,7.37,196.49,6,0.0205,777
16698,20.59,7.02,40.25,5,5.4027,271
16699,135.41,13.78,175.46,6,0.1551,1376
16700,99.32,10.82,540.38,3,0.8149,1076
16701,181.95,11.19,248.33,3,0.5756,1555
16702,0.71,1.82,115.35,3,10.9504,60
16703,73.25,2.09,12.42,9,0.2439,2224
16704,50.94,5.14,383.26,5,0.3055,978
16705,14.33,13.14,1061.74,5,6.8011,139
16706,54.14,6.5,460.49,13,1.9846,398
16707,212.92,7.37,154.8,9,0.2084,1072
16708,3.01,12.27,1075.52,5,16.1395,25
16709,7.6,1.89,56.74,5,1.9357,265
16710,442.6,9.52,318.73,6,0.0806,1611
16711,57.46,10.03,181.76,4,0.4642,780
16712,121.7,13.6,161.68,6,0.1946,1616
16713,197.11,13.21,336.73,4,0.0516,885
16714,18.26,2.09,9.65,4,0.2458,982
16715,45.52,5.09,23,4,0.6061,1102
16716,31.07,4.94,104.89,6,0.6633,545
16717,43.06,3.67,263.89,4,0.2919,1362
16718,211.23,7.51,256.51,9,0.7493,1166
16719,130,8.66,116.71,5,0.0226,1686
16720,195.5,11.13,215.27,5,0.2062,1066
16721,74.71,5.5,109.74,4,0.7119,873
16722,153.24,10.55,169.26,4,0.6343,1421
16723,78.31,5.51,493.57,4,0.157,839
16724,5.72,1.78,53.36,5,0.806,474
16725,21.14,5.99,496.67,4,1.6028,287
16726,381.11,7.28,632.93,9,0.5348,904
16727,14.88,2.35,55.73,4,0.3892,326
16728,1.23,2.51,196.47,5,6.4752,88
16729,541.58,6.66,167.54,11,0.3759,1639
16730,106.55,7.37,378.33,4,0.2332,2336
16731,22.53,11.61,432.74,17,0.5109,96
16732,25.37,11.05,138.63,4,0.0431,380
16733,134.26,7.79,460.38,3,0.803,1462
16734,3.22,5.34,504.01,4,14.0204,90
16735,80.82,11.57,530.2,4,0.7609,1251
16736,94.64,5.26,68.15,4,0.0172,2443
16737,0.89,1.03,6.95,5,5.0105,187
16738,20.68,8.02,385.33,5,1.5942,395
16739,71.95,5.13,45.84,6,0.1629,1420
16740,95.75,5.56,320.87,4,0.5212,1775
16741,14.18,4.39,108.87,5,1.1609,222
16742,129.87,12.37,1120.38,4,0.5794,1397
16743,17.21,2.85,116.15,4,0.517,811
16744,877.4,6.46,48.64,9,0.3284,5640
16745,8.61,1.69,14.33,3,1.2803,472
16746,148.19,12.42,807.73,4,0.4913,1333
16747,245.55,11.46,714.65,6,0.9745,907
16748,92.55,5.85,434.56,4,0.4697,1441
16749,14.52,9.75,641.95,6,3.1804,266
16750,24.31,3.51,62.83,8,0.527,458
16751,99.96,5.88,33.77,7,0.0351,944
16752,74.63,8.64,398.47,3,0.3466,756
16753,45.66,4.48,75.34,4,0.5917,1257
16754,1255.5,9.78,701.91,15,0.0709,7176
16755,511.89,10.41,894.68,8,0.1383,1541
16756,52.23,5.21,43.41,4,0.5855,494
16757,80.51,9.13,439.27,8,0.7773,786
16758,157.37,12.07,401.15,4,0.7081,1419
16759,38.29,4.61,47.49,6,0.3333,877
16760,12.5,7.26,302.15,5,0.7839,103
16761,78.25,12.15,270.67,3,1.6871,405
16762,9.44,4.12,405.3,2,2.6123,389
16763,262.23,6.97,214.47,6,0.2232,3095
16764,7.72,1.49,25.31,4,1.276,559
16765,1064.61,12.15,205.56,8,0.1846,988
16766,66.39,13.98,1113.36,4,0.1343,543
16767,43.12,3.8,293.68,4,0.0771,1657
16768,7.27,1.57,102.51,4,0.9716,500
16769,71.23,7.58,512.87,6,0.5117,827
16770,39,8.2,356.19,4,0.769,803
16771,9.19,1.79,19.04,4,0.1076,533
16772,174.71,9.85,622.29,5,0.2284,1019
16773,28.14,8.13,183.13,7,1.065,147
16774,34.42,6.93,265.43,2,0.3491,764
16775,24.12,11.55,439.24,4,1.9034,337
16776,90,8.12,761.8,5,0.2,1333
16777,42.07,5.89,364.25,6,0.278,686
16778,68.63,4.48,62.12,7,0.4334,817
16779,4.86,3.65,63.19,4,1.5669,278
16780,11.6,10.77,547.3,4,9.714,147
16781,106.67,10.28,950.69,3,0.3536,854
16782,7.68,11.25,1022.25,4,5.2885,94
16783,179.67,7.51,240.37,10,0.2375,1771
16784,21.52,13.24,245.55,5,5.0592,147
16785,186.48,4.56,270.09,5,0.3704,3115
16786,22.68,1.21,32.74,10,0.0841,1325
16787,79.21,5.4,151.7,3,0.2097,1213
16788,77.28,8.05,81.53,4,0.4423,1017
16789,70.63,6.81,509.82,4,0.2947,1724
16790,50.19,5.57,54.43,4,0.8647,1116
16791,92.47,13.39,642.27,5,0.4596,793
16792,556.26,13.83,1119,6,0.3672,2116
16793,11.82,6.45,593.92,5,3.6876,288
16794,11.19,4.25,86.84,9,1.6899,140
16795,45.47,6.17,426.32,4,0.346,1133
16796,1.26,8.69,226.26,4,7.1468,13
16797,9.34,3.07,166.12,4,0.9231,237
16798,8.94,13.02,692.24,3,10.158,84
16799,11.73,1.19,63.21,5,0.637,974
16800,762.18,12.45,887.74,8,0.175,2784
16801,353.86,11.63,248.52,11,0.8582,1048
16802,7.76,1.4,36.76,3,1.5152,444
16803,9.75,8,135.21,4,0.3537,318
16804,101.66,8.16,601.53,5,0.2872,981
16805,34.84,3.38,91.35,4,1.1445,1418
16806,7.31,2.68,51.71,3,4.1638,351
16807,52.93,10.93,1005.46,3,2.614,566
16808,118.07,11.78,220.4,4,0.3877,656
16809,282.41,3.16,193.74,11,0.0345,2513
16810,19.61,8.33,657.13,9,1.4007,142
16811,149.93,11.52,420.53,3,0.7744,961
16812,29.43,1.76,47.81,3,0.4024,957
16813,39.69,5.26,72.66,4,0.8444,815
16814,64.01,8.18,411.62,4,0.6892,1545
16815,928.99,12.58,453.66,11,0.2692,3506
16816,1.69,2.27,42.19,4,5.0224,57
16817,14.35,5.07,60.91,3,0.0903,292
16818,31,3.91,37.06,4,0.2976,1930
16819,130.99,12.27,881.63,4,0.4486,743
16820,72.45,6.12,351.81,3,0.992,1137
16821,44.63,6.7,57.55,5,1.0866,612
16822,494.72,11.75,744.07,9,0.1555,2372
16823,5.72,6.01,488.24,5,11.0367,101
16824,178.71,12.76,362.87,3,0.4159,1122
16825,561.68,12.68,54.48,7,0.0254,2379
16826,25.61,11.76,526.13,4,4.3601,421
16827,116.32,11.07,330.7,4,0.4281,1604
16828,22.19,1.91,65.13,6,0.2636,955
16829,9.3,8.97,217.79,4,4.9476,116
16830,21.12,6.34,173.41,5,2.0299,536
16831,1043.31,13.82,364.25,9,0.3426,1196
16832,52.59,11.94,194.57,3,2.9567,409
16833,67.61,3.81,295.71,5,0.2981,2995
16834,153.36,9.22,361.01,4,0.3316,1029
16835,572.64,11.3,175.58,6,0.2987,3331
16836,30.33,7.88,140.38,4,0.81,216
16837,63.8,9.98,501.75,3,0.0977,1423
16838,10.94,1.05,5.68,4,0.0432,1649
16839,96.68,9.64,92.87,6,0.3577,1338
16840,80.37,12.21,1191.16,4,0.6019,1038
16841,1599.93,12.95,843.97,8,0.3081,2619
16842,4.55,8.57,260.57,6,7.7463,122
16843,70.9,6.88,62.96,3,1.0141,949
16844,2.94,9.34,435.54,5,11.9979,38
16845,18.7,1.87,150.3,7,1.2571,392
16846,558.37,13.04,330,14,0.4456,1841
16847,417.52,11.03,855.74,8,0.0193,1991
16848,343.18,6.64,215.09,9,0.1894,4035
16849,31.19,11.89,49.69,4,1.7113,183
16850,262.49,6.53,92.07,8,0.1633,2664
16851,20.42,7.77,485.91,4,0.4475,275
16852,76.84,9.89,557.67,4,0.0706,1077
16853,674.67,12.31,530.26,17,0.1982,2664
16854,114.25,7.96,757.52,4,0.3272,1441
16855,58.37,3.77,48.72,6,1.4291,692
16856,21.61,2.55,165.17,4,0.1283,1486
16857,37.64,13.94,261.45,5,1.7343,390
16858,35.69,4.1,349.25,8,1.0971,417
16859,280.75,9.92,590.69,10,0.3054,2923
16860,34.53,7.04,118.71,4,1.1876,368
16861,135.36,10.83,164.83,4,0.2352,2393
16862,69.97,5.18,429.37,5,0.3679,825
16863,39.48,12.37,704.86,11,0.2685,140
16864,183.72,8.72,630.15,11,0.4585,1738
16865,45.08,1.34,96.99,7,0.486,3161
16866,71.79,8.63,91.97,4,0.9519,828
16867,403.87,11.88,385.17,6,0.0562,1171
16868,194.37,4.33,300.14,14,0.2602,2399
16869,33.71,8.32,127.8,8,0.1288,285
16870,428.09,10.71,336.61,8,0.0274,2354
16871,60.15,11.93,96.37,4,0.4536,505
16872,25.56,2.98,182.72,3,0.0814,879
16873,16.36,10.3,103.19,4,4.5129,279
16874,78.76,6.03,71.21,6,0.5237,2091
16875,354.84,11.13,693.24,8,0.2633,1467
16876,1023.82,11.5,486.69,9,0.2535,2760
16877,212.01,12.68,353.87,3,0.3279,733
16878,605.7,13.26,87.99,10,0.1123,4429
16879,242.3,3.48,318.3,7,0.1189,4051
16880,163.13,1.93,137.69,16,0.0084,3679
16881,49.6,2.25,147.93,8,0.636,1119
16882,191.62,13.7,426.38,5,0.2996,970
16883,403.57,13.66,156.62,8,0.3542,2524
16884,51.79,5.74,159,8,0.4569,1137
16885,87.32,10.35,839.31,6,0.7584,436
16886,68.58,12.04,477.07,6,0.314,646
16887,9.38,4.6,335.32,3,5.5355,78
16888,9.29,11.32,489.81,8,10.6562,51
16889,90.72,5.77,425.56,4,0.6735,834
16890,104.34,8.02,746.6,5,0.3719,1091
16891,78.72,9.59,957.55,4,1.1181,524
16892,6.25,2.42,47.45,4,0.1999,584
16893,104.51,9.74,161.06,3,0.1705,724
16894,25.79,3.25,86.02,5,0.2012,386
16895,54.65,5.68,541.2,5,0.4113,1522
16896,196.85,10.23,977.58,4,0.2882,1677
16897,127.11,11.63,612.93,8,0.1529,789
16898,491.26,11.92,1144.32,12,0.1309,3694
16899,239.63,2.37,87.42,8,0.1851,2841
16900,38.26,12.91,58.78,5,1.6988,430
16901,99.7,13.64,386.38,3,0.7128,513
16902,108.88,6.87,28.58,5,0.9239,958
16903,31.68,7.05,74.58,3,1.7128,424
16904,135.84,11.34,236.22,6,0.2843,1681
16905,58.19,5.44,46.45,5,0.8254,527
16906,7.56,1.35,118.65,6,0.6386,290
16907,78.01,9.76,144.02,4,0.6167,821
16908,8.65,4.99,365.78,3,5.8523,72
16909,95.47,8.41,454.91,6,0.0254,1658
16910,213.91,13.33,807.95,6,0.2338,1939
16911,58.73,10.59,469.7,5,0.2745,537
16912,204.1,8.23,521.02,5,0.5756,1156
16913,11,11.9,276.45,4,3.0192,159
16914,43.77,7.62,462.85,6,0.1042,708
16915,27.54,12.75,617.64,6,0.2657,420
16916,72.79,11.23,83.03,4,0.8232,573
16917,38.24,6.04,37.19,4,0.85,1262
16918,157.06,4.29,56.53,9,0.0084,1929
16919,2.03,1.68,44.73,4,6.7048,186
16920,33.01,8.99,734.82,5,0.3447,559
16921,166.66,11.67,138.15,6,1.2879,531
16922,21.53,2.77,212.86,4,0.7166,932
16923,37.72,5.31,96.22,4,1.0584,1079
16924,41.03,4.05,45.68,15,2.2514,417
16925,10.07,11.42,466.69,3,9.6709,62
16926,16.86,10.87,677.49,5,2.7801,216
16927,60.93,7.54,263.86,4,1.0548,542
16928,65.99,2.31,193.4,15,0.6962,1508
16929,32.67,6.86,41.4,5,1.4722,399
16930,28.33,12.46,888.66,5,0.2522,175
16931,30.85,1.37,38.3,6,0.4718,785
16932,186.28,13.89,831.48,3,0.0954,992
16933,135.42,9.86,914.1,3,1.0219,1171
16934,69.96,5.02,403.29,3,0.1087,1284
16935,42.1,7.93,106.69,4,1.5672,772
16936,12.91,1.89,113.26,3,1.1677,268
16937,15.83,4.27,91.69,4,0.8239,452
16938,164.24,8.67,256.23,5,0.6085,1889
16939,278.43,11.92,408.24,5,0.1553,1404
16940,14.02,2.18,147.87,6,0.6677,1046
16941,38.57,5.12,196.7,3,0.38,404
16942,36.02,4.26,353.29,5,0.4054,1504
16943,19.95,2.41,34.34,3,0.7021,780
16944,82.89,13.57,791.94,5,1.1926,948
16945,104.99,12.76,460.27,3,1.5382,879
16946,9.22,3.21,249.47,4,3.5628,301
16947,291.4,4.94,96.84,10,0.2082,1357
16948,206.1,11.58,1048.17,7,0.5429,1031
16949,20.07,10.05,199.54,4,3.5637,317
16950,25.82,4.7,130.14,9,7.9847,78
16951,494.91,6.81,497.73,12,0.1207,2953
16952,27.06,7.24,164.17,3,1.4759,318
16953,65.07,6,464.59,5,0.4352,730
16954,78.54,13.48,284.59,6,1.0759,657
16955,129.43,8.35,358.27,9,0.1825,924
16956,59.75,9.22,607.54,6,0.2796,537
16957,155.3,9.89,523.72,5,0.4493,1009
16958,43.87,4.92,41.36,4,0.5338,1282
16959,3.59,9.61,747.75,4,14.4495,19
16960,236.89,8.14,156.56,5,0.2707,1129
16961,69.91,7.05,83.8,4,0.458,674
16962,85.83,1.85,14.05,6,0.22,2987
16963,24.01,7.01,339.75,4,2.6601,245
16964,23.48,2.38,31.24,6,0.4666,1428
16965,149.78,5.17,222.45,5,0.6644,896
16966,11.77,8.78,721.16,4,4.5938,232
16967,1487.1,12.55,121.42,12,0.022,7053
16968,64.88,12.67,573.09,3,2.4163,279
16969,6.21,2.77,17.91,4,1.9963,587
16970,13.29,11.23,87.9,6,3.3473,120
16971,103.57,8.22,124.51,3,0.6613,447
16972,664.97,13.98,869.51,9,0.2004,2555
16973,612.17,13.7,129.16,6,0.1764,2661
16974,9.68,5.31,26.46,3,2.9956,170
16975,299.95,13.61,489.84,6,0.5037,1861
16976,20.94,2.93,100.64,3,0.5803,668
16977,149.01,12.12,193.87,5,0.3282,1603
16978,12.86,13.4,107.43,4,3.7224,129
16979,600.36,12.8,138.19,11,0.1476,2163
16980,28.3,9.35,259.85,4,2.2617,322
16981,10.48,4.24,83.52,9,15.2287,40
16982,24.86,4.28,90.28,4,0.4282,811
16983,70.75,9.57,400.48,3,1.0699,1514
16984,118.74,10.59,223.12,4,0.2801,883
16985,138.46,9.51,848.61,3,0.7308,1241
16986,182.48,12.56,110.59,5,0.1838,1314
16987,1312.8,13.9,245.07,12,0.022,5293
16988,10.92,1.95,43.31,6,1.0885,482
16989,470.26,9.92,292.61,12,0.3334,1769
16990,266.56,7.06,516.58,8,0.2911,1581
16991,54.8,13.5,557.95,4,1.8618,636
16992,11.99,2.55,61.76,4,0.3021,353
16993,65.88,3.2,186.03,9,0.5077,924
16994,83.64,4.59,402.64,3,0.0823,1952
16995,157.85,13.85,743.78,3,1.4301,850
16996,25.49,2.39,166.8,5,0.7284,665
16997,85.6,8.6,634.19,3,0.999,1147
16998,157.76,10.69,206.53,4,0.7131,900
16999,243.36,5.89,151.52,8,0.3228,3383
17000,26,9.68,321.92,5,1.7618,346
17001,480.29,13.78,140.06,5,0.4286,3239
17002,146.87,8.88,552.88,4,0.5693,1387
17003,74.33,10.44,834.6,4,0.5986,1115
17004,350.18,11.09,203.94,9,0.9296,878
17005,3.4,3.12,192.32,4,6.954,130
17006,21.08,4.2,59.48,4,0.3321,407
17007,95.89,6.06,390.3,4,0.4152,1243
17008,57.68,10.94,379.79,5,0.9224,695
17009,18.61,1.42,36.01,3,0.9092,736
17010,86.28,13.77,1032.37,4,1.2118,1027
17011,54.76,2.96,200.3,5,0.0753,1914
17012,94.26,10.94,788.32,6,0.4272,819
17013,114.91,7.11,323.74,4,0.2321,898
17014,47.35,12.63,1004.06,4,2.3335,278
17015,13.54,6.13,429.73,4,0.8461,173
17016,179.11,4.28,171.85,15,0.0294,2377
17017,51.61,5.31,53.6,4,0.036,1028
17018,31.08,9.78,666.23,4,1.9496,254
17019,61.53,13.64,136.67,4,1.3635,362
17020,99.69,9.7,213.74,6,0.4485,1634
17021,98.57,9.14,39.43,4,0.9812,1530
17022,11.33,2.25,66.78,4,0.3957,599
17023,202.38,12.93,1046.28,4,0.5303,1007
17024,22.57,10.57,430.57,4,4.3676,267
17025,136.41,12.5,119.37,3,0.7804,1403
17026,54.86,6.81,239.88,5,0.489,656
17027,24.75,1.3,20.1,3,0.1576,1128
17028,194.85,12.1,62.4,4,0.1603,2091
17029,9.86,9.54,478.95,4,2.961,98
17030,35.35,6.04,175.2,3,1.314,1051
17031,98.48,3.32,217.06,8,0.6463,331
17032,13.09,11.49,555.32,4,8.096,117
17033,104.94,8.07,61.95,4,0.1348,1406
17034,263.12,12.38,645.27,8,0.5858,1681
17035,9.01,9.15,653.56,5,9.5707,145
17036,30.94,10.36,549.76,3,0.3361,114
17037,54.07,6.28,441.5,4,1.0157,540
17038,35.48,12.39,1023.11,4,0.0533,197
17039,24,7.82,413.21,6,1.6964,179
17040,169.19,11.32,872.09,4,0.3146,2304
17041,133.92,9.02,180.04,4,0.6879,885
17042,2.28,5.11,85.73,8,10.9846,45
17043,7.83,1.36,129.13,7,1.3064,204
17044,241.4,10.4,90.76,5,0.1639,2243
17045,6.53,2.18,81.87,6,1.9195,359
17046,14.74,10.38,904.1,3,3.1826,135
17047,36.77,8.33,642.08,5,1.2359,286
17048,13.94,4.41,343.57,4,1.0142,246
17049,48.3,1.2,47.16,8,0.0652,3342
17050,138.97,8.89,227.67,5,0.1689,1028
17051,1.68,2.04,55.84,11,7.2949,52
17052,81.2,5.68,159.69,3,0.7085,2196
17053,29.68,5.39,359.52,3,0.8064,837
17054,400.98,9.72,858.62,8,0.4177,1358
17055,40.93,4.05,21.18,5,0.3472,759
17056,155.76,11.11,66.58,6,0.4819,1781
17057,59.84,1.94,12.03,16,0.0765,1487
17058,303.56,5.65,488.45,10,0.1959,3609
17059,124.3,11.15,250.42,4,0.1285,1029
17060,18.4,3.95,32.44,4,1.3258,374
17061,22.67,4.19,182.44,5,1.2742,921
17062,164.35,9.49,178.69,6,0.3281,2222
17063,29.03,2.67,182.82,4,0.2128,498
17064,124.46,11.93,513.39,5,0.7248,1244
17065,74.43,12.19,68.23,4,1.5279,718
17066,366.23,4,192.49,13,0.0278,2389
17067,20.21,7.35,115.66,6,1.4903,356
17068,48.47,2.74,146.24,5,0.437,1997
17069,60.89,4.96,269.06,6,0.2712,1818
17070,145.8,11.22,648.68,4,0.6734,882
17071,10.93,1.51,110.4,5,0.2935,999
17072,16.9,12.77,209.84,5,5.9473,135
17073,6.76,9.55,119.31,3,8.3137,51
17074,86.27,11.03,1024.84,4,0.993,1128
17075,120.31,8.01,504.51,4,0.4135,1592
17076,13.27,4.13,219.53,3,2.1612,510
17077,68.75,13.65,456.55,4,1.8224,495
17078,548.29,13.36,161.81,8,0.0965,3411
17079,112.49,8.33,273.43,4,0.0606,2214
17080,78.42,10.72,597.42,5,0.1646,500
17081,81.32,10.48,192.12,4,0.6566,1554
17082,97.14,5.84,266.02,5,0.2612,1735
17083,210.78,10.47,385.96,7,0.7115,451
17084,29.5,2.12,129.82,10,0.3648,1476
17085,111.05,7.85,751.05,5,0.3527,2253
17086,33.24,12.05,455.84,6,2.861,251
17087,162.75,3.67,172.84,6,0.5333,2621
17088,27.89,6.4,114.89,6,1.219,284
17089,1870.41,13.73,895.87,11,0.0969,7295
17090,88.35,2.74,139,9,0.0485,1837
17091,761.55,10.66,939.43,11,0.1325,2538
17092,12.64,3.71,193.55,4,1.99,292
17093,7.96,9.9,197.23,4,2.3296,46
17094,782.46,13.65,57.34,10,0.0911,2576
17095,43.64,8.51,127.61,8,0.1638,638
17096,90.1,8.09,411.48,5,0.6833,1327
17097,8.58,2.18,150.28,4,1.4101,596
17098,70.78,7.4,681.61,9,0.6802,342
17099,51.58,11.9,162.38,4,0.9828,514
17100,207.54,12.56,105.71,3,0.528,1704
17101,152.83,11.39,207.28,4,0.5692,1629
17102,61.53,6.84,56.89,5,0.3405,647
17103,26.83,2.05,195.47,4,0.711,734
17104,21.85,5.6,63.77,8,1.691,525
17105,22.87,2.12,111.32,7,0.9699,1002
17106,184.35,12.83,295.94,6,0.0449,1500
17107,21.42,1.66,26.56,3,0.1737,1536
17108,63.51,6.03,528.65,4,0.7108,1596
17109,3.83,1.31,126.14,4,0.9782,465
17110,68.89,5.83,123.16,4,0.7255,961
17111,140.31,10.58,614.73,4,0.3168,1666
17112,1.76,1.16,15.55,6,1.9268,175
17113,24.88,5.87,349.74,5,0.851,350
17114,77.35,12,1197.13,3,0.3678,1464
17115,27.75,4.47,148.38,5,0.1173,1407
17116,7.49,1.46,67.75,5,0.7923,219
17117,241.03,2.5,30.99,9,0.0066,2818
17118,61.55,13.54,137.04,4,1.7811,300
17119,120,4.54,447.15,6,0.2034,3171
17120,115.02,7.43,471.74,4,0.2921,986
17121,76.06,7.81,117.25,4,0.0951,782
17122,508.23,9.52,705.2,9,0.3332,2839
17123,18.51,4.22,384.66,4,2.2181,578
17124,18.52,2.15,54.42,3,1.1916,273
17125,48.73,1.98,94.05,6,0.4433,738
17126,86.45,6.18,64.82,3,0.8375,1412
17127,325.56,11.27,155.36,9,0.45,2791
17128,38.33,5.51,68.72,4,0.4725,957
17129,222.45,13.42,341.86,4,0.3073,812
17130,82.8,7.59,314.4,4,0.8033,978
17131,28.15,11.51,1147.54,4,2.7671,190
17132,106.59,1.09,78.34,9,0.0974,2584
17133,93.38,12.58,496.21,3,1.1552,1288
17134,15.56,7.63,394.61,9,4.3686,174
17135,36.88,6.45,145.72,3,0.879,1000
17136,269.52,5.51,55.76,7,0.1064,2304
17137,227.37,9.41,258.76,5,0.2522,1716
17138,63.05,7.23,112.21,3,1.5409,532
17139,31.07,2.36,109.09,5,0.1899,1181
17140,12.38,1.65,110.11,5,0.7703,1065
17141,3.42,10.54,448.74,2,31.2114,31
17142,267.36,8.41,580.34,11,0.9995,1699
17143,7.89,5.31,150.82,6,1.1723,227
17144,24.93,6.77,213.54,3,0.0601,360
17145,62.5,10.32,544.14,6,0.4065,146
17146,156.54,11.48,689.68,5,0.4798,1018
